date,peak_load_MW
2018-07-03,34161.787365177195
2018-07-04,33742.64705882353
2018-07-05,33147.18614718615
2018-07-06,34314.11229135053
2018-07-07,30383.38192419825
2018-07-08,28932.735426008967
2018-07-09,34939.0243902439
2018-07-10,34755.38461538462
2018-07-11,31193.313953488374
2018-07-12,34409.65732087228
2018-07-13,34963.72239747634
2018-07-14,31270.12278308322
2018-07-15,29308.145240431793
2018-07-16,35186.78526048285
2018-07-17,36217.57925072045
2018-07-18,36469.860896445134
2018-07-19,36726.13458528952
2018-07-20,35754.19847328244
2018-07-21,31318.376068376067
2018-07-22,29331.503841931943
2018-07-23,34234.61091753775
2018-07-24,35974.88226059655
2018-07-25,35907.18562874252
2018-07-26,35820.59282371295
2018-07-27,35661.31386861314
2018-07-28,31382.205513784458
2018-07-29,30612.99852289513
2018-07-30,36313.54642313546
2018-07-31,36924.76489028213
2018-08-01,37361.4262560778
2018-08-02,36129.41176470589
2018-08-03,36098.06835066865
2018-08-04,31904.958677685947
2018-08-05,29661.38448707256
2018-08-06,36065.76980568012
2018-08-07,36116.788321167885
2018-08-08,36171.262699564584
2018-08-09,35878.08417997097
2018-08-10,36024.46483180428
2018-08-11,31723.546234509056
2018-08-12,30108.77192982456
2018-08-13,34752.17391304348
2018-08-14,34844.44444444444
2018-08-15,33947.87379972565
2018-08-16,34359.516616314206
2018-08-17,35192.546583850926
2018-08-18,30080.196399345332
2018-08-19,28663.833805476865
2018-08-20,34379.710144927536
2018-08-21,34661.466458658346
2018-08-22,34776.470588235294
2018-08-23,34720.25723472669
2018-08-24,30167.058823529413
2018-08-25,29185.943060498223
2018-08-26,28099.343955014057
2018-08-27,32341.750841750843
2018-08-28,31928.649921507065
2018-08-29,32094.81346678799
2018-08-30,31891.515591007977
2018-08-31,32273.07996832937
2018-09-01,28933.058419243986
2018-09-02,28169.733210671573
2018-09-03,33823.20574162679
2018-09-04,35150.76923076923
2018-09-05,35263.72093023256
2018-09-06,34886.23718887262
2018-09-07,34499.85507246377
2018-09-08,29660.778443113777
2018-09-09,26805.848375451267
2018-09-10,31650.75421472937
2018-09-11,33269.94652406417
2018-09-12,34137.02064896755
2018-09-13,34510.57971014492
2018-09-14,34653.15315315315
2018-09-15,29282.753488372095
2018-09-16,28935.576923076922
2018-09-17,35074.62686567164
2018-09-18,35350.0
2018-09-19,34978.16593886463
2018-09-20,35045.03105590062
2018-09-21,34885.341074020325
2018-09-22,30255.594817432273
2018-09-23,27878.974358974356
